,funcion,principal,pabierto,pcerrado,imprimir,comillas,id,coma,fsentencia,devolver,detener,llaveabi,llavecerr,tentero,tflotante,tbooleano,tcadena,tvacio,si,y,o,sino,entonces,mientras,para,suma,resta,mul,div,residuo,menorque,mayorque,menorigualque,mayorigualque,igual,igualbool,diferentede,nentero,nflotante,ncadena,nbooleano,leer,$
programaprincipal,funcion opcionprincipal masfuncn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opcionprincipal,,restomain,,,,,restofuncn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masfuncn,programaprincipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
restomain,,principal pabierto pcerrado tentero llaveabi masinstrucciones llavecerr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restofuncn,,,,,,,id pabierto parametrosf pcerrado opciondato llaveabi masinstrucciones llavecerr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parametrosf,,,,e,,,id tipodato masparametrosf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masparametrosf,,,,e,,,,coma parametrosf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opciondato,,,,,,,,,,,,,,tipodato,tipodato,tipodato,tipodato,tvacio,,,,,,,,,,,,,,,,,,,,,,,,,
instruccion,,,,,mostrar fsentencia,,asignaciones fsentencia,,,devolver expresion fsentencia,detener fsentencia,,,,,,,,condicional,,,,,buclemientras,buclepara,,,,,,,,,,,,,,,,,leer pabierto id pcerrado fsentencia,
masinstrucciones,,,,,instruccion masinstrucciones,,instruccion masinstrucciones,,,instruccion masinstrucciones,instruccion masinstrucciones,,e,,,,,,instruccion masinstrucciones,,,,,instruccion masinstrucciones,instruccion masinstrucciones,,,,,,,,,,,,,,,,,instruccion masinstrucciones,
buclepara,,,,,,,,,,,,,,,,,,,,,,,,,para pabierto asignaciones fsentencia expresion fsentencia asignaciones pcerrado llaveabi masinstrucciones llavecerr,,,,,,,,,,,,,,,,,,
buclemientras,,,,,,,,,,,,,,,,,,,,,,,,mientras pabierto expresion pcerrado llaveabi masinstrucciones llavecerr,,,,,,,,,,,,,,,,,,,
condicional,,,,,,,,,,,,,,,,,,,si pabierto expresion pcerrado llaveabi masinstrucciones llavecerr posibilidad,,,,,,,,,,,,,,,,,,,,,,,,
posibilidad,,,,,e,,e,,,e,e,,e,,,,,,e,,,sino pabierto expresion pcerrado llaveabi masinstrucciones llavecerr posibilidad,entonces llaveabi masinstrucciones llavecerr,e,e,,,,,,,,,,,,,,,,,e,
mostrar,,,,,imprimir pabierto comandos pcerrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comandos,,,expresion mascomandos,e,,,expresion mascomandos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,expresion mascomandos,expresion mascomandos,expresion mascomandos,expresion mascomandos,,
macomandos,,,,,,,,,,,,,,,,,,,,,,,,,,suma expresion mascomandos,,,,,,,,,,,,,,,,,
mascomandos,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asignaciones,,,,,,,id ext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ext,,,extension,,,,,,,,,,,tipodato opcionesasig,tipodato opcionesasig,tipodato opcionesasig,tipodato opcionesasig,,,,,,,,,,,,,,,,,,extension,,,,,,,,
extension,,,pabierto parametros pcerrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,igual expresion,,,,,,,,
opcionesasig,,,,e,,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,igual expresion,,,,,,,,
expresion,,,pabierto expresion pcerrado masexpresiones,,,,id opciones masexpresiones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valordato masexpresiones,valordato masexpresiones,valordato masexpresiones,valordato masexpresiones,,
masexpresiones,,,,e,,,,e,e,,,,,,,,,,,operacion expresion,operacion expresion,,,,,operacion expresion,operacion expresion,operacion expresion,operacion expresion,operacion expresion,operacion expresion,operacion expresion,operacion expresion,operacion expresion,,operacion expresion,operacion expresion,,,,,,
opciones,,,pabierto parametros pcerrado,e,,,,e,e,,,,,,,,,,,e,e,,,,,e,e,e,e,e,e,e,e,e,,e,e,,,,,,
parametros,,,expresion restoparametros,e,,,expresion restoparametros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,expresion restoparametros,expresion restoparametros,expresion restoparametros,expresion restoparametros,,
restoparametros,,,,e,,,,coma expresion restoparametros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operacion,,,,,,,,,,,,,,,,,,,,y,o,,,,,suma,resta,mul,div,residuo,menorque,mayorque,menorigualque,mayorigualque,,igualbool,diferentede,,,,,,
valordato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nentero,nflotante,ncadena,nbooleano,,
tipodato,,,,,,,,,,,,,,tentero,tflotante,tbooleano,tcadena,,,,,,,,,,,,,,,,,,,,,,,,,,